geoestadisticas;db_concordia_catalogo;catalogo;sig_v_calidad_materiales_viviendas_particulares_habitadas;;v_calidad_materiales_viviendas_particulares_habitadas;Viviendas con materiales de baja calidad en pisos y techos 2010 (%);orden:34,hogar,vivienda,casa,construccion;;4326;gid;;;;Calidad de los materiales (INMAT): refiere a la calidad de los materiales con que están construidas las viviendas (material predominante de los pisos y techos), teniendo en cuenta la solidez, resistencia y capacidad de aislamiento, así como también su terminación.;;
geoestadisticas;db_concordia_catalogo;catalogo;sig_v_condicion_ocupacion_viviendas_particulares;;v_condicion_ocupacion_viviendas_particulares;Viviendas particulares habitadas con personas presentes 2010 (%);orden:35,hogar,vivienda,casa;;4326;gid;;;;Condición de ocupación (V02): Esta variable establece si la vivienda se encuentra habitada o deshabitada la noche de referencia del Censo.;;
planeamiento_y_catastro;db_concordia_catalogo;catalogo;sig_fraccion_censal;;fraccion_censal;Fracción Censal;orden:100,censo,relevamiento,encuesta;;4326;gid;;;;División del Departamento o Partido, compuesta por un promedio de 20 radios censales (en áreas urbanas comprende entre 3000 y 6000 viviendas);fraccion_censal;
planeamiento_y_catastro;db_concordia_catalogo;catalogo;sig_radio_censal;;radio_censal;Radio Censal;orden:101,censo,relevamiento,encuesta;;4326;gid;;;;Unidad de diseño muestral. En áreas urbanas,los radios comprenden entre 200 y 400 viviendas. En áreas rurales su tamaño depende de la cantidad de viviendas por radio, de la accesibilidad e infraestructura de la zona  y de la distancia a recorrer por el censista.;radio_censal;
planeamiento_y_catastro;db_concordia_catalogo;catalogo;sig_barrios;;barrios;Barrios;orden:102,barrio,barrios,catastro;;4326;gid;;;;Barrios del éjido de Concordia. Fuente: Dirección de Catastro Municipalidad de Concordia;barrios;
planeamiento_y_catastro;db_concordia_catalogo;catalogo;sig_manzanas;;manzanas;Manzanas;orden:103,barrio,manzanas,catastro,parcelas;;4326;gid;;;;Manzanas catastrales del éjido de Concordia. Fuente: Dirección de Catastro Municipalidad de Concordia;manzanas;
planeamiento_y_catastro;db_concordia_catalogo;catalogo;sig_parcelas;;parcelas;Parcelas;orden:104,barrio,manzanas,catastro,parcelas;;4326;gid;;;;Bien inmueble de extensión territorial continua delimitado por una poligonal cerrada, perteneciente a un propietario o varios en condominio, o poseido por una persona o por varias en común, cuya existencia y elementos esenciales consten en un plano registrado en el organismo catastral. Fuente: Dirección de Catastro Municipalidad de Concordia.;parcelas;
servicios_e_infraestructura_urbana;db_concordia_catalogo;catalogo;sig_luminarias;;luminarias;Luminarias;orden:200,luminarias,alumbrado,iluminación;;4326;gid;;;;Luminarias del éjido de Concordia. (Fuente: Dirección de Electrotecnia del Municipio de Concordia);luminarias;
servicios_e_infraestructura_urbana;db_concordia_catalogo;catalogo;sig_medidores_alumbrado;;medidores_alumbrado;Medidores de alumbrado;orden:201,luminarias,alumbrado,iluminación;;4326;gid;;;;Medidores de alumbrado del éjido de Concordia. (Fuente: Dirección de Electrotecnia del Municipio de Concordia);medidor_alumbrado;medidor_alumbrado.svg
servicios_e_infraestructura_urbana;db_concordia_catalogo;catalogo;sig_medidores_reparticion;;medidores_reparticion;Medidores de repartición;orden:202,luminarias,alumbrado,iluminación;;4326;gid;;;;Medidores de alumbrado del éjido de Concordia (Fuente: Dirección de Electrotecnia del Municipio de Concordia). DECRETO Nº 984/2010: regitran el consumo de semáforos y otros elementos para señalización vial o relojes electrónicos instalados por la Municipalidad previa coordinación con la Cooperativa Electrica de Concordia.Liquidación según cuadro tarifario del EPRE. Incluye lugares donde la Cooperativa no presta servicios de mantenimiento (plazas, peatonales, paseos, etc.);medidor_reparticion;medidor_reparticion.svg
